y,F1,F2,F3,F4
1,35,-0.07344055,0.07575989,0.043884277
1,44,0.07437134,0.16618347,0.007232666
1,54,0.1659851,0.2236023,-0.034301758
1,65,0.18431091,0.2101593,-0.06851196
1,75,0.12690735,0.14173889,-0.09049988
1,85,0.026733398,0.05255127,-0.1002655
1,94,-0.06489563,-0.032958984,-0.0978241
1,103,-0.12109375,-0.09403992,-0.085617065
1,115,-0.12965393,-0.13435364,-0.07095337
1,123,-0.11376953,-0.16246033,-0.053848267
1,132,-0.095443726,-0.17590332,-0.024536133
1,141,-0.074661255,-0.15145874,-0.002532959
,,,,
1,6,-0.21760559,-0.03540039,0.11595154
1,15,-0.48883057,-0.012207031,0.20269775
1,25,-0.37643433,-0.020751953,0.12937927
1,34,-0.12721252,0.028121948,0.06707764
1,44,0.056045532,0.13197327,0.027999878
1,54,0.16966248,0.2236023,-0.022094727
1,63,0.2136383,0.24925232,-0.062408447
1,75,0.16966248,0.19915771,-0.08683777
1,83,0.07803345,0.1124115,-0.09538269
1,93,-0.012359619,0.015899658,-0.09173584
1,103,-0.078323364,-0.061050415,-0.07461548
1,113,-0.11253357,-0.11114502,-0.05506897
1,122,-0.11376953,-0.15023804,-0.034301758
1,131,-0.10398865,-0.17590332,-0.01109314
1,141,-0.08932495,-0.16856384,0.00479126
1,152,-0.070999146,-0.14289856,0.007232666
,,,,
1,3,0.05480957,-0.19178772,-0.041641235
1,13,-0.32756042,-0.14779663,0.114730835
1,19,-0.4509735,-0.12213135,0.13671875
1,28,-0.29457092,-0.09770203,0.07319641
1,38,-0.102767944,-0.007324219,0.046325684
1,47,0.021850586,0.122177124,0.02067566
1,56,0.11102295,0.22236633,-0.008651733
1,66,0.14767456,0.24801636,-0.029418945
1,75,0.10614014,0.21624756,-0.046524048
1,84,0.014526367,0.15762329,-0.056289673
1,93,-0.07588196,0.09408569,-0.05996704
1,104,-0.13697815,0.028121948,-0.062408447
1,114,-0.16630554,-0.02319336,-0.057525635
1,125,-0.16630554,-0.05860901,-0.046524048
1,133,-0.14430237,-0.08181763,-0.029418945
1,143,-0.11985779,-0.089157104,-0.018417358
1,152,-0.10154724,-0.089157104,-0.01109314
1,161,-0.08078003,-0.09526062,-9.16E-05
1,172,-0.047790527,-0.09892273,0.012115479
